# Translations of superatom labels to SMILES.
# First atom of SMILES string should be the one connected to the rest of
# the molecule.
# Empty lines and lines starting with # are ignored.
# Also check spelling.txt to see that the superatom label
# is correctly spelled.

MeO      OC
MeS      SC
MeN      NC
CF       CF
CF3      C(F)(F)F
CN       C#N
F3CN     NC(F)(F)F
Ph       c1ccccc1
NO       N=O
NO2      N(=O)=O
N(OH)CH3 N(O)C
SO3H     S(=O)(=O)O
COOH     C(=O)O
nBu      CCCC
EtO      OCC
OiBu     OCC(C)C
iPr      CCC
tBu      C(C)(C)C
Ac       C(=O)C
AcO      OC(=O)C
NHAc     NC(=O)C
OR       O*
#BzO      OCc1ccccc1
BzO OC(=O)C1=CC=CC=C1
THPO     O[C@@H]1OCCCC1

CHO    C=O
NOH    NO 

#Added from CLiDE Pro validation set
CO2Et C(=O)OCC
CO2Me C(=O)OC
COCl  C(=O)Cl
MeO2S S(=O)(=O)C
NMe2  N(C)C
CO2R  C(=O)O*
ZNH  NC(=O)OCC1=CC=CC=C1
HOCH2 CO
H2NCH2 CN
Et CC
BnO OCC1=CC=CC=C1

# General additions
AmNH	NCCCCC
AmO	OCCCCC
AmO2C	C(=O)OCCCCC
AmS	SCCCCC

